county_fips,ARTHRITIS,BPHIGH,DEPRESSION,DIABETES,OBESITY,NAME,median_household_income,income_moe,log_income,income_quartile
01001,32.1,38.85,24.05,12.15,38.65,"Autauga County, Alabama",72481.0,5640.0,11.191093534155144,Q3
01003,31.200000000000003,35.55,24.3,11.649999999999999,36.8,"Baldwin County, Alabama",78775.0,2602.0,11.274363660927637,Q4 (high)
01005,34.45,46.5,23.15,17.45,43.55,"Barbour County, Alabama",46042.0,5089.0,10.73733102144275,Q1 (low)
01007,31.799999999999997,40.7,26.25,14.2,41.4,"Bibb County, Alabama",52541.0,8950.0,10.86936812875028,Q1 (low)
01009,31.8,37.95,27.4,12.8,37.3,"Blount County, Alabama",64190.0,3472.0,11.069618292935061,Q2
01011,33.95,50.65,21.9,21.15,49.5,"Bullock County, Alabama",31310.0,9971.0,10.351724752488161,Q1 (low)
01013,34.8,44.75,23.450000000000003,16.5,45.25,"Butler County, Alabama",44755.0,2896.0,10.708980792927612,Q1 (low)
01015,32.8,39.65,24.950000000000003,13.6,38.0,"Calhoun County, Alabama",55029.0,2763.0,10.915633770053805,Q1 (low)
01017,33.95,43.9,24.799999999999997,16.4,45.5,"Chambers County, Alabama",49656.0,3919.0,10.812894646443958,Q1 (low)
01019,37.05,40.349999999999994,26.0,13.25,40.05,"Cherokee County, Alabama",53863.0,4463.0,10.894217630225118,Q1 (low)
01021,30.400000000000002,38.75,25.25,12.649999999999999,36.5,"Chilton County, Alabama",65603.0,4047.0,11.091391948683,Q2
01023,36.3,46.75,24.6,17.7,45.9,"Choctaw County, Alabama",47813.0,8438.0,10.775073762625803,Q1 (low)
01025,33.95,44.75,24.35,16.7,44.2,"Clarke County, Alabama",49249.0,3377.0,10.804664646600235,Q1 (low)
01027,34.05,41.75,26.65,14.850000000000001,39.55,"Clay County, Alabama",55250.0,6691.0,10.919641718763716,Q1 (low)
01029,34.0,39.349999999999994,27.55,13.8,39.5,"Cleburne County, Alabama",55345.0,6656.0,10.921359668136029,Q1 (low)
01031,30.650000000000002,37.25,22.85,12.7,34.150000000000006,"Coffee County, Alabama",68353.0,3218.0,11.132455362751363,Q3
01033,33.05,39.45,25.8,13.3,40.75,"Colbert County, Alabama",60628.0,3733.0,11.012528605444684,Q2
